complex_type,province,city,complex_name,development_status,sale_rate,resident_companies,active_companies
일반,경남,사천시,축동,조성중,0.0,5,5
일반,경남,사천시,대동,조성중,0.0,0,0
일반,경남,함안군,장지,완료,100.0,1,1
일반,경남,김해시,김해테크노밸리,완료,100.0,388,388
일반,경남,의령군,대의,조성중,0.0,0,0
일반,경남,김해시,서김해,완료,92.78,43,43
일반,경남,의령군,정곡백곡,미개발,0.0,0,0
일반,경남,김해시,가산,완료,100.0,2,1
일반,경남,김해시,이노비즈밸리,완료,100.0,3,3
일반,경남,김해시,덕암2,조성중,100.0,0,0
일반,경남,김해시,김해사이언스파크,조성중,100.0,0,0
일반,경남,함안군,칠북영동,완료,100.0,6,3
일반,경남,김해시,신천,완료,100.0,7,7
일반,경남,함안군,사내,조성중,100.0,2,1
일반,경남,사천시,종포,완료,100.0,12,10
일반,경남,양산시,토정,조성중,0.0,0,0
일반,경남,양산시,용당,완료,100.0,56,56
일반,경남,함안군,가연,완료,0.0,0,0
일반,경남,거제시,오비2,미개발,0.0,0,0
일반,경남,창원시,동전,완료,85.29,57,41
일반,경남,양산시,서창,완료,100.0,49,49
일반,경남,김해시,병동,조성중,100.0,0,0
일반,경남,창원시,안골,미개발,0.0,0,0
일반,경남,거제시,덕곡,조성중,0.0,0,0
일반,경남,양산시,석계2,완료,100.0,150,150
일반,경남,통영시,법송2,완료,100.0,0,0
일반,경남,고성군,봉암동원,완료,73.77,1,1
일반,경남,사천시,대진,조성중,0.0,0,0
일반,경남,함안군,화천,미개발,0.0,0,0
일반,경남,김해시,본산,미개발,0.0,0,0
일반,경남,밀양시,용전3,미개발,0.0,11,0
일반,경남,창원시 진해구,죽곡2,미개발,0.0,0,0
일반,경남,함안군,칠원용산,조성중,0.0,0,0
일반,경남,창원시 성산구,상복,완료,41.86,6,6
일반,경남,진주시,진주(사봉),완료,100.0,71,71
일반,경남,김해시,AM하이테크,완료,100.0,38,38
일반,경남,김해시,이지(Eco-Zone),조성중,100.0,0,0
일반,경남,사천시,향촌2,완료,0.0,0,0
일반,경남,산청군,산청한방항노화,완료,0.0,0,0
일반,경남,사천시,사천제1 (① + ②),완료,99.69,51,47
일반,경남,사천시,사천제1 ①,완료,100.0,34,30
일반,경남,사천시,사천(외국인) ②,완료,98.99,17,17
일반,경남,사천시,사천제2,완료,100.0,19,17
일반,경남,창녕군,영남,미개발,0.0,0,0
일반,경남,김해시,김해대동첨단,완료,93.64,0,0
일반,경남,양산시,가산,조성중,0.0,10,10
일반,경남,함안군,부목2,미개발,0.0,0,0
일반,경남,양산시,양산[재생사업지구],완료,100.0,113,113
일반,경남,진주시,뿌리,완료,73.19,61,61
일반,경남,함안군,함안(구 군북),완료,100.0,97,97
일반,경남,함안군,군북유현,미개발,0.0,0,0
일반,경남,사천시,용당(항공MRO),조성중,0.0,0,0
일반,경남,창녕군,대성하이스코,조성중,0.0,0,0
일반,경남,고성군,이당,조성중,85.51,1,1
일반,경남,창원시 마산회원구,평성,미개발,0.0,0,0
일반,경남,창원시,덕산,미개발,0.0,0,0
일반,경남,함안군,군북,조성중,0.0,0,0
일반,경남,의령군,부림,조성중,0.0,0,0
일반,경남,김해시,하계,미개발,0.0,0,0
일반,경남,사천시,사천서부,미개발,0.0,0,0
일반,경남,거창군,거창첨단,미개발,0.0,0,0
일반,경남,고성군,고성양촌·용정,조성중,0.0,0,0
일반,경남,양산시,양산주남일반산업단지,미개발,0.0,0,0
도시첨단,경남,창원시 마산합포구,창원덴소도시첨단(구 경남지능형홈산업),완료,100.0,1,1
도시첨단,경남,창원시,해양신도시,조성중,0.0,0,0
농공,경남,거제시,한내조선특화,완료,100.0,1,1
농공,경남,김해시,나전,완료,100.0,30,30
농공,경남,김해시,내삼,완료,100.0,39,39
농공,경남,김해시,병동,완료,100.0,26,26
농공,경남,김해시,본산,완료,100.0,16,16
