complex_type,province,city,complex_name,development_status,sale_rate,resident_companies,active_companies
일반,경기,파주시,문발1,완료,100.0,16,16
일반,경기,파주시,문발2,완료,100.0,16,16
일반,경기,파주시,신촌,완료,100.0,79,67
일반,경기,파주시,오산,완료,100.0,76,68
일반,경기,파주시,축현,완료,100.0,107,89
일반,경기,파주시,파주LCD,완료,100.0,8,5
일반,경기,파주시,법원2,완료,100.0,32,20
일반,경기,평택시,고덕국제화계획지구,완료,100.0,1,1
일반,경기,평택시,어연한산,완료,100.0,34,30
일반,경기,평택시,오성(외국인),완료,100.0,6,5
일반,경기,평택시,장당,완료,100.0,5,5
일반,경기,평택시,진위,완료,100.0,17,17
