물품순번,물품명,판매지방청명,판매금액,판매한도수량값,판매종료일자
2,알루미늄(비서구산),"부산,인천,대구,전북",4420000,통합60톤/주,2025-09-17
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15610000,60톤/주 ,2025-09-17
4,납(99.99%이상),"인천,대구",3210000,240톤/주 ,2025-09-17
5,납(99.99%이상),전북,3130000,240톤/주 ,2025-09-17
6,납(99.99%이상),부산,3240000,240톤/주 ,2025-09-17
7,아연,"부산,인천,대구,전북",4890000,18톤/주 ,2025-09-17
8,주석(99.85%이상),"부산,인천,대구,전북",53760000,7톤/주 ,2025-09-17
9,주석(99.90%이상),"부산,인천,대구,전북",53920000,5톤/주 ,2025-09-17
10,니켈(합금용),"부산,인천,대구",24990000,6톤/주 ,2025-09-17
11,니켈(도금용),"부산,인천",25370000,4톤/주,2025-09-17
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4420000,통합50톤/주,2025-09-16
2,알루미늄(비서구산),"부산,인천,대구,전북",4410000,통합50톤/주,2025-09-16
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15810000,50톤/주 ,2025-09-16
4,납(99.99%이상),"인천,대구",3220000,200톤/주 ,2025-09-16
5,납(99.99%이상),전북,3140000,200톤/주 ,2025-09-16
6,납(99.99%이상),부산,3250000,200톤/주 ,2025-09-16
7,아연,"부산,인천,대구,전북",4880000,15톤/주 ,2025-09-16
8,주석(99.85%이상),"부산,인천,대구,전북",53810000,6톤/주 ,2025-09-16
9,주석(99.90%이상),"부산,인천,대구,전북",53970000,4톤/주 ,2025-09-16
10,니켈(합금용),"부산,인천,대구",25190000,5톤/주 ,2025-09-16
11,니켈(도금용),"부산,인천",25570000,3톤/주,2025-09-16
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4410000,통합50톤/주,2025-09-15
2,알루미늄(비서구산),"부산,인천,대구,전북",4400000,통합50톤/주,2025-09-15
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15600000,50톤/주 ,2025-09-15
4,납(99.99%이상),"인천,대구",3250000,200톤/주 ,2025-09-15
