물품순번,물품명,판매지방청명,판매금액,판매한도수량값,판매종료일자
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4220000,통합50톤/주,2025-08-12
2,알루미늄(비서구산),"부산,인천,대구,전북",4210000,통합50톤/주,2025-08-12
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15140000,50톤/주 ,2025-08-12
4,납(99.99%이상),"인천,대구,부산",3230000,200톤/주 ,2025-08-12
5,납(99.99%이상),전북,3150000,200톤/주 ,2025-08-12
6,아연,"부산,인천,대구,전북",4590000,15톤/주 ,2025-08-12
7,주석(99.85%이상),"부산,인천,대구,전북",52530000,6톤/주 ,2025-08-12
8,주석(99.90%이상),"부산,인천,대구,전북",52920000,4톤/주 ,2025-08-12
9,니켈(합금용),"부산,인천,대구",25000000,5톤/주 ,2025-08-12
10,니켈(도금용),"부산,인천",25390000,3톤/주,2025-08-12
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4270000,통합50톤/주,2025-08-11
2,알루미늄(비서구산),"부산,인천,대구,전북",4260000,통합50톤/주,2025-08-11
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15220000,50톤/주 ,2025-08-11
4,납(99.99%이상),"인천,대구,부산",3260000,200톤/주 ,2025-08-11
5,납(99.99%이상),전북,3170000,200톤/주 ,2025-08-11
6,아연,"부산,인천,대구,전북",4600000,15톤/주 ,2025-08-11
7,주석(99.85%이상),"부산,인천,대구,전북",52280000,6톤/주 ,2025-08-11
8,주석(99.90%이상),"부산,인천,대구,전북",52670000,4톤/주 ,2025-08-11
9,니켈(합금용),"부산,인천,대구",24750000,5톤/주 ,2025-08-11
10,니켈(도금용),"부산,인천",25130000,3톤/주,2025-08-11
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4250000,통합50톤/주,2025-08-08
2,알루미늄(비서구산),"부산,인천,대구,전북",4240000,통합50톤/주,2025-08-08
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15020000,50톤/주 ,2025-08-08
4,납(99.99%이상),"인천,대구,부산",3240000,200톤/주 ,2025-08-08
5,납(99.99%이상),전북,3150000,200톤/주 ,2025-08-08
6,아연,"부산,인천,대구,전북",4550000,15톤/주 ,2025-08-08
7,주석(99.85%이상),"부산,인천,대구,전북",52150000,6톤/주 ,2025-08-08
8,주석(99.90%이상),"부산,인천,대구,전북",52540000,4톤/주 ,2025-08-08
9,니켈(합금용),"부산,인천,대구",24530000,5톤/주 ,2025-08-08
10,니켈(도금용),"부산,인천",24910000,3톤/주,2025-08-08
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4270000,통합50톤/주,2025-08-07
2,알루미늄(비서구산),"부산,인천,대구,전북",4260000,통합50톤/주,2025-08-07
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15100000,50톤/주 ,2025-08-07
4,납(99.99%이상),"인천,대구,부산",3230000,200톤/주 ,2025-08-07
5,납(99.99%이상),전북,3150000,200톤/주 ,2025-08-07
6,아연,"부산,인천,대구,전북",4530000,15톤/주 ,2025-08-07
7,주석(99.85%이상),"부산,인천,대구,전북",51890000,6톤/주 ,2025-08-07
8,주석(99.90%이상),"부산,인천,대구,전북",52290000,4톤/주 ,2025-08-07
9,니켈(합금용),"부산,인천,대구",24700000,5톤/주 ,2025-08-07
10,니켈(도금용),"부산,인천",25080000,3톤/주,2025-08-07
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4200000,통합50톤/주,2025-08-06
2,알루미늄(비서구산),"부산,인천,대구,전북",4190000,통합50톤/주,2025-08-06
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15020000,50톤/주 ,2025-08-06
4,납(99.99%이상),"인천,대구,부산",3180000,200톤/주 ,2025-08-06
5,납(99.99%이상),전북,3100000,200톤/주 ,2025-08-06
6,아연,"부산,인천,대구,전북",4470000,15톤/주 ,2025-08-06
7,주석(99.85%이상),"부산,인천,대구,전북",51710000,6톤/주 ,2025-08-06
8,주석(99.90%이상),"부산,인천,대구,전북",52100000,4톤/주 ,2025-08-06
9,니켈(합금용),"부산,인천,대구",24510000,5톤/주 ,2025-08-06
10,니켈(도금용),"부산,인천",24870000,3톤/주,2025-08-06
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4170000,통합50톤/주,2025-08-05
2,알루미늄(비서구산),"부산,인천,대구,전북",4160000,통합50톤/주,2025-08-05
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15090000,50톤/주 ,2025-08-05
4,납(99.99%이상),"인천,대구,부산",3150000,200톤/주 ,2025-08-05
5,납(99.99%이상),전북,3070000,200톤/주 ,2025-08-05
6,아연,"부산,인천,대구,전북",4450000,15톤/주 ,2025-08-05
7,주석(99.85%이상),"부산,인천,대구,전북",51520000,6톤/주 ,2025-08-05
8,주석(99.90%이상),"부산,인천,대구,전북",51920000,4톤/주 ,2025-08-05
9,니켈(합금용),"부산,인천,대구",24530000,5톤/주 ,2025-08-05
10,니켈(도금용),"부산,인천",24890000,3톤/주,2025-08-05
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4240000,통합50톤/주,2025-08-04
2,알루미늄(비서구산),"부산,인천,대구,전북",4230000,통합50톤/주,2025-08-04
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15180000,50톤/주 ,2025-08-04
4,납(99.99%이상),"인천,대구,부산",3210000,200톤/주 ,2025-08-04
5,납(99.99%이상),전북,3130000,200톤/주 ,2025-08-04
6,아연,"부산,인천,대구,전북",4470000,15톤/주 ,2025-08-04
7,주석(99.85%이상),"부산,인천,대구,전북",52450000,6톤/주 ,2025-08-04
8,주석(99.90%이상),"부산,인천,대구,전북",52850000,4톤/주 ,2025-08-04
9,니켈(합금용),"부산,인천,대구",24710000,5톤/주 ,2025-08-04
10,니켈(도금용),"부산,인천",25070000,3톤/주,2025-08-04
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4190000,통합50톤/주,2025-08-01
2,알루미늄(비서구산),"부산,인천,대구,전북",4180000,통합50톤/주,2025-08-01
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",14990000,50톤/주 ,2025-08-01
4,납(99.99%이상),"인천,대구,부산",3180000,200톤/주 ,2025-08-01
5,납(99.99%이상),전북,3100000,200톤/주 ,2025-08-01
6,아연,"부산,인천,대구,전북",4480000,15톤/주 ,2025-08-01
7,주석(99.85%이상),"부산,인천,대구,전북",50860000,6톤/주 ,2025-08-01
8,주석(99.90%이상),"부산,인천,대구,전북",51260000,4톤/주 ,2025-08-01
9,니켈(합금용),"부산,인천,대구",24360000,5톤/주 ,2025-08-01
10,니켈(도금용),"부산,인천",24720000,3톤/주,2025-08-01
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4280000,통합50톤/주,2025-07-31
2,알루미늄(비서구산),"부산,인천,대구,전북",4250000,통합50톤/주,2025-07-31
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15100000,50톤/주 ,2025-07-31
4,납(99.99%이상),"인천,대구,부산",3210000,200톤/주 ,2025-07-31
5,납(99.99%이상),전북,3130000,200톤/주 ,2025-07-31
6,아연,"부산,인천,대구,전북",4520000,15톤/주 ,2025-07-31
7,주석(99.85%이상),"부산,인천,대구,전북",51830000,6톤/주 ,2025-07-31
8,주석(99.90%이상),"부산,인천,대구,전북",52070000,4톤/주 ,2025-07-31
9,니켈(합금용),"부산,인천,대구",25550000,5톤/주 ,2025-07-31
10,니켈(도금용),"부산,인천",25910000,3톤/주,2025-07-31
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4320000,통합50톤/주,2025-07-30
2,알루미늄(비서구산),"부산,인천,대구,전북",4280000,통합50톤/주,2025-07-30
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15330000,50톤/주 ,2025-07-30
4,납(99.99%이상),"인천,대구,부산",3270000,200톤/주 ,2025-07-30
5,납(99.99%이상),전북,3190000,200톤/주 ,2025-07-30
6,아연,"부산,인천,대구,전북",4570000,15톤/주 ,2025-07-30
7,주석(99.85%이상),"부산,인천,대구,전북",52660000,6톤/주 ,2025-07-30
8,주석(99.90%이상),"부산,인천,대구,전북",52910000,4톤/주 ,2025-07-30
9,니켈(합금용),"부산,인천,대구",26160000,5톤/주 ,2025-07-30
10,니켈(도금용),"부산,인천",26520000,3톤/주,2025-07-30
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4330000,통합50톤/주,2025-07-29
2,알루미늄(비서구산),"부산,인천,대구,전북",4300000,통합50톤/주,2025-07-29
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15220000,50톤/주 ,2025-07-29
4,납(99.99%이상),"인천,대구,부산",3260000,200톤/주 ,2025-07-29
5,납(99.99%이상),전북,3180000,200톤/주 ,2025-07-29
6,아연,"부산,인천,대구,전북",4560000,15톤/주 ,2025-07-29
7,주석(99.85%이상),"부산,인천,대구,전북",52310000,6톤/주 ,2025-07-29
8,주석(99.90%이상),"부산,인천,대구,전북",52550000,4톤/주 ,2025-07-29
9,니켈(합금용),"부산,인천,대구",25910000,5톤/주 ,2025-07-29
10,니켈(도금용),"부산,인천",26270000,3톤/주,2025-07-29
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4330000,통합50톤/주,2025-07-28
2,알루미늄(비서구산),"부산,인천,대구,전북",4290000,통합50톤/주,2025-07-28
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15140000,50톤/주 ,2025-07-28
4,납(99.99%이상),"인천,대구,부산",3250000,200톤/주 ,2025-07-28
5,납(99.99%이상),전북,3170000,200톤/주 ,2025-07-28
6,아연,"부산,인천,대구,전북",4560000,15톤/주 ,2025-07-28
7,주석(99.85%이상),"부산,인천,대구,전북",52810000,6톤/주 ,2025-07-28
8,주석(99.90%이상),"부산,인천,대구,전북",53050000,4톤/주 ,2025-07-28
9,니켈(합금용),"부산,인천,대구",25920000,5톤/주 ,2025-07-28
10,니켈(도금용),"부산,인천",26270000,3톤/주,2025-07-28
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4310000,통합50톤/주,2025-07-25
2,알루미늄(비서구산),"부산,인천,대구,전북",4280000,통합50톤/주,2025-07-25
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15190000,50톤/주 ,2025-07-25
4,납(99.99%이상),"인천,대구,부산",3240000,200톤/주 ,2025-07-25
5,납(99.99%이상),전북,3150000,200톤/주 ,2025-07-25
6,아연,"부산,인천,대구,전북",4560000,15톤/주 ,2025-07-25
7,주석(99.85%이상),"부산,인천,대구,전북",53370000,6톤/주 ,2025-07-25
8,주석(99.90%이상),"부산,인천,대구,전북",53610000,4톤/주 ,2025-07-25
9,니켈(합금용),"부산,인천,대구",25940000,5톤/주 ,2025-07-25
10,니켈(도금용),"부산,인천",26290000,3톤/주,2025-07-25
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4350000,통합50톤/주,2025-07-24
2,알루미늄(비서구산),"부산,인천,대구,전북",4320000,통합50톤/주,2025-07-24
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15410000,50톤/주 ,2025-07-24
4,납(99.99%이상),"인천,대구,부산",3280000,200톤/주 ,2025-07-24
5,납(99.99%이상),전북,3200000,200톤/주 ,2025-07-24
6,아연,"부산,인천,대구,전북",4620000,15톤/주 ,2025-07-24
7,주석(99.85%이상),"부산,인천,대구,전북",54250000,6톤/주 ,2025-07-24
8,주석(99.90%이상),"부산,인천,대구,전북",54490000,4톤/주 ,2025-07-24
9,니켈(합금용),"부산,인천,대구",26330000,5톤/주 ,2025-07-24
10,니켈(도금용),"부산,인천",26690000,3톤/주,2025-07-24
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4390000,통합50톤/주,2025-07-23
2,알루미늄(비서구산),"부산,인천,대구,전북",4360000,통합50톤/주,2025-07-23
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15460000,50톤/주 ,2025-07-23
4,납(99.99%이상),"인천,대구,부산",3270000,200톤/주 ,2025-07-23
5,납(99.99%이상),전북,3180000,200톤/주 ,2025-07-23
6,아연,"부산,인천,대구,전북",4640000,15톤/주 ,2025-07-23
7,주석(99.85%이상),"부산,인천,대구,전북",52980000,6톤/주 ,2025-07-23
8,주석(99.90%이상),"부산,인천,대구,전북",53230000,4톤/주 ,2025-07-23
9,니켈(합금용),"부산,인천,대구",26420000,5톤/주 ,2025-07-23
10,니켈(도금용),"부산,인천",26780000,3톤/주,2025-07-23
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4380000,통합50톤/주,2025-07-22
2,알루미늄(비서구산),"부산,인천,대구,전북",4340000,통합50톤/주,2025-07-22
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15370000,50톤/주 ,2025-07-22
4,납(99.99%이상),"인천,대구,부산",3270000,200톤/주 ,2025-07-22
5,납(99.99%이상),전북,3190000,200톤/주 ,2025-07-22
6,아연,"부산,인천,대구,전북",4620000,15톤/주 ,2025-07-22
7,주석(99.85%이상),"부산,인천,대구,전북",52800000,6톤/주 ,2025-07-22
8,주석(99.90%이상),"부산,인천,대구,전북",53040000,4톤/주 ,2025-07-22
9,니켈(합금용),"부산,인천,대구",26420000,5톤/주 ,2025-07-22
10,니켈(도금용),"부산,인천",26780000,3톤/주,2025-07-22
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4360000,통합50톤/주,2025-07-21
2,알루미늄(비서구산),"부산,인천,대구,전북",4330000,통합50톤/주,2025-07-21
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15320000,50톤/주 ,2025-07-21
4,납(99.99%이상),"인천,대구,부산",3280000,200톤/주 ,2025-07-21
5,납(99.99%이상),전북,3200000,200톤/주 ,2025-07-21
6,아연,"부산,인천,대구,전북",4610000,15톤/주 ,2025-07-21
7,주석(99.85%이상),"부산,인천,대구,전북",52410000,6톤/주 ,2025-07-21
8,주석(99.90%이상),"부산,인천,대구,전북",52650000,4톤/주 ,2025-07-21
9,니켈(합금용),"부산,인천,대구",26060000,5톤/주 ,2025-07-21
10,니켈(도금용),"부산,인천",26420000,3톤/주,2025-07-21
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4280000,통합50톤/주,2025-07-18
2,알루미늄(비서구산),"부산,인천,대구,전북",4240000,통합50톤/주,2025-07-18
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15140000,50톤/주 ,2025-07-18
4,납(99.99%이상),"인천,대구,부산",3210000,200톤/주 ,2025-07-18
5,납(99.99%이상),전북,3130000,200톤/주 ,2025-07-18
6,아연,"부산,인천,대구,전북",4470000,15톤/주 ,2025-07-18
7,주석(99.85%이상),"부산,인천,대구,전북",51610000,6톤/주 ,2025-07-18
8,주석(99.90%이상),"부산,인천,대구,전북",51860000,4톤/주 ,2025-07-18
9,니켈(합금용),"부산,인천,대구",25860000,5톤/주 ,2025-07-18
10,니켈(도금용),"부산,인천",26220000,3톤/주,2025-07-18
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4260000,통합50톤/주,2025-07-17
2,알루미늄(비서구산),"부산,인천,대구,전북",4220000,통합50톤/주,2025-07-17
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15010000,50톤/주 ,2025-07-17
4,납(99.99%이상),"인천,대구,부산",3200000,200톤/주 ,2025-07-17
5,납(99.99%이상),전북,3120000,200톤/주 ,2025-07-17
6,아연,"부산,인천,대구,전북",4400000,15톤/주 ,2025-07-17
7,주석(99.85%이상),"부산,인천,대구,전북",50920000,6톤/주 ,2025-07-17
8,주석(99.90%이상),"부산,인천,대구,전북",51160000,4톤/주 ,2025-07-17
9,니켈(합금용),"부산,인천,대구",25610000,5톤/주 ,2025-07-17
10,니켈(도금용),"부산,인천",25970000,3톤/주,2025-07-17
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4250000,통합50톤/주,2025-07-16
2,알루미늄(비서구산),"부산,인천,대구,전북",4210000,통합50톤/주,2025-07-16
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",14990000,50톤/주 ,2025-07-16
4,납(99.99%이상),"인천,대구,부산",3220000,200톤/주 ,2025-07-16
5,납(99.99%이상),전북,3130000,200톤/주 ,2025-07-16
6,아연,"부산,인천,대구,전북",4360000,15톤/주 ,2025-07-16
7,주석(99.85%이상),"부산,인천,대구,전북",51480000,6톤/주 ,2025-07-16
8,주석(99.90%이상),"부산,인천,대구,전북",51720000,4톤/주 ,2025-07-16
9,니켈(합금용),"부산,인천,대구",25690000,5톤/주 ,2025-07-16
10,니켈(도금용),"부산,인천",26040000,3톤/주,2025-07-16
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4260000,통합50톤/주,2025-07-15
2,알루미늄(비서구산),"부산,인천,대구,전북",4230000,통합50톤/주,2025-07-15
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",14940000,50톤/주 ,2025-07-15
4,납(99.99%이상),"인천,대구,부산",3230000,200톤/주 ,2025-07-15
5,납(99.99%이상),전북,3150000,200톤/주 ,2025-07-15
6,아연,"부산,인천,대구,전북",4420000,15톤/주 ,2025-07-15
7,주석(99.85%이상),"부산,인천,대구,전북",51870000,6톤/주 ,2025-07-15
8,주석(99.90%이상),"부산,인천,대구,전북",52110000,4톤/주 ,2025-07-15
9,니켈(합금용),"부산,인천,대구",25570000,5톤/주 ,2025-07-15
10,니켈(도금용),"부산,인천",25930000,3톤/주,2025-07-15
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4270000,통합50톤/주,2025-07-14
2,알루미늄(비서구산),"부산,인천,대구,전북",4230000,통합50톤/주,2025-07-14
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15000000,50톤/주 ,2025-07-14
4,납(99.99%이상),"인천,대구,부산",3240000,200톤/주 ,2025-07-14
5,납(99.99%이상),전북,3160000,200톤/주 ,2025-07-14
6,아연,"부산,인천,대구,전북",4420000,15톤/주 ,2025-07-14
7,주석(99.85%이상),"부산,인천,대구,전북",52010000,6톤/주 ,2025-07-14
8,주석(99.90%이상),"부산,인천,대구,전북",52250000,4톤/주 ,2025-07-14
9,니켈(합금용),"부산,인천,대구",25690000,5톤/주 ,2025-07-14
10,니켈(도금용),"부산,인천",26040000,3톤/주,2025-07-14
11,니켈(도금용),"부산,인천",26040000,3톤/주,2025-07-14
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4260000,통합50톤/주,2025-07-11
2,알루미늄(비서구산),"부산,인천,대구,전북",4220000,통합50톤/주,2025-07-11
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15030000,50톤/주 ,2025-07-11
4,납(99.99%이상),"인천,대구,부산",3280000,200톤/주 ,2025-07-11
5,납(99.99%이상),전북,3190000,200톤/주 ,2025-07-11
6,아연,"부산,인천,대구,전북",4470000,15톤/주 ,2025-07-11
7,주석(99.85%이상),"부산,인천,대구,전북",51680000,6톤/주 ,2025-07-11
8,주석(99.90%이상),"부산,인천,대구,전북",51920000,4톤/주 ,2025-07-11
9,니켈(합금용),"부산,인천,대구",25730000,5톤/주 ,2025-07-11
10,니켈(도금용),"부산,인천",26090000,3톤/주,2025-07-11
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4250000,통합50톤/주,2025-07-10
2,알루미늄(비서구산),"부산,인천,대구,전북",4220000,통합50톤/주,2025-07-10
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15010000,50톤/주 ,2025-07-10
4,납(99.99%이상),"인천,대구,부산",3320000,200톤/주 ,2025-07-10
5,납(99.99%이상),전북,3230000,200톤/주 ,2025-07-10
6,아연,"부산,인천,대구,전북",4430000,15톤/주 ,2025-07-10
7,주석(99.85%이상),"부산,인천,대구,전북",51440000,6톤/주 ,2025-07-10
8,주석(99.90%이상),"부산,인천,대구,전북",51680000,4톤/주 ,2025-07-10
9,니켈(합금용),"부산,인천,대구",25340000,5톤/주 ,2025-07-10
10,니켈(도금용),"부산,인천",25690000,3톤/주,2025-07-10
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4220000,통합50톤/주,2025-07-09
2,알루미늄(비서구산),"부산,인천,대구,전북",4180000,통합50톤/주,2025-07-09
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15220000,50톤/주 ,2025-07-09
4,납(99.99%이상),"인천,대구,부산",3290000,200톤/주 ,2025-07-09
5,납(99.99%이상),전북,3210000,200톤/주 ,2025-07-09
6,아연,"부산,인천,대구,전북",4360000,15톤/주 ,2025-07-09
7,주석(99.85%이상),"부산,인천,대구,전북",51300000,6톤/주 ,2025-07-09
8,주석(99.90%이상),"부산,인천,대구,전북",51530000,4톤/주 ,2025-07-09
9,니켈(합금용),"부산,인천,대구",25310000,5톤/주 ,2025-07-09
10,니켈(도금용),"부산,인천",25660000,3톤/주,2025-07-09
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4190000,통합50톤/주,2025-07-08
2,알루미늄(비서구산),"부산,인천,대구,전북",4160000,통합50톤/주,2025-07-08
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15320000,50톤/주 ,2025-07-08
4,납(99.99%이상),"인천,대구,부산",3260000,200톤/주 ,2025-07-08
5,납(99.99%이상),전북,3170000,200톤/주 ,2025-07-08
6,아연,"부산,인천,대구,전북",4290000,15톤/주 ,2025-07-08
7,주석(99.85%이상),"부산,인천,대구,전북",51160000,6톤/주 ,2025-07-08
8,주석(99.90%이상),"부산,인천,대구,전북",51400000,4톤/주 ,2025-07-08
9,니켈(합금용),"부산,인천,대구",25510000,5톤/주 ,2025-07-08
10,니켈(도금용),"부산,인천",25870000,3톤/주,2025-07-08
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4200000,통합50톤/주,2025-07-07
2,알루미늄(비서구산),"부산,인천,대구,전북",4170000,통합50톤/주,2025-07-07
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15340000,50톤/주 ,2025-07-07
4,납(99.99%이상),"인천,대구,부산",3280000,200톤/주 ,2025-07-07
5,납(99.99%이상),전북,3190000,200톤/주 ,2025-07-07
6,아연,"부산,인천,대구,전북",4330000,15톤/주 ,2025-07-07
7,주석(99.85%이상),"부산,인천,대구,전북",51610000,6톤/주 ,2025-07-07
8,주석(99.90%이상),"부산,인천,대구,전북",51840000,4톤/주 ,2025-07-07
9,니켈(합금용),"부산,인천,대구",25600000,5톤/주 ,2025-07-07
10,니켈(도금용),"부산,인천",25950000,3톤/주,2025-07-07
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4210000,통합50톤/주,2025-07-04
2,알루미늄(비서구산),"부산,인천,대구,전북",4180000,통합50톤/주,2025-07-04
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15430000,50톤/주 ,2025-07-04
4,납(99.99%이상),"인천,대구,부산",3280000,200톤/주 ,2025-07-04
5,납(99.99%이상),전북,3190000,200톤/주 ,2025-07-04
6,아연,"부산,인천,대구,전북",4360000,15톤/주 ,2025-07-04
7,주석(99.85%이상),"부산,인천,대구,전북",51620000,6톤/주 ,2025-07-04
8,주석(99.90%이상),"부산,인천,대구,전북",51860000,4톤/주 ,2025-07-04
9,니켈(합금용),"부산,인천,대구",25790000,5톤/주 ,2025-07-04
10,니켈(도금용),"부산,인천",26140000,3톤/주,2025-07-04
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4240000,통합50톤/주,2025-07-03
2,알루미늄(비서구산),"부산,인천,대구,전북",4200000,통합50톤/주,2025-07-03
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15520000,50톤/주 ,2025-07-03
4,납(99.99%이상),"인천,대구,부산",3270000,200톤/주 ,2025-07-03
5,납(99.99%이상),전북,3180000,200톤/주 ,2025-07-03
6,아연,"부산,인천,대구,전북",4370000,15톤/주 ,2025-07-03
7,주석(99.85%이상),"부산,인천,대구,전북",51400000,6톤/주 ,2025-07-03
8,주석(99.90%이상),"부산,인천,대구,전북",51640000,4톤/주 ,2025-07-03
9,니켈(합금용),"부산,인천,대구",25560000,5톤/주 ,2025-07-03
10,니켈(도금용),"부산,인천",25910000,3톤/주,2025-07-03
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4200000,통합50톤/주,2025-07-02
2,알루미늄(비서구산),"부산,인천,대구,전북",4170000,통합50톤/주,2025-07-02
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15400000,50톤/주 ,2025-07-02
4,납(99.99%이상),"인천,대구,부산",3220000,200톤/주 ,2025-07-02
5,납(99.99%이상),전북,3140000,200톤/주 ,2025-07-02
6,아연,"부산,인천,대구,전북",4300000,15톤/주 ,2025-07-02
7,주석(99.85%이상),"부산,인천,대구,전북",51200000,6톤/주 ,2025-07-02
8,주석(99.90%이상),"부산,인천,대구,전북",51430000,4톤/주 ,2025-07-02
9,니켈(합금용),"부산,인천,대구",25350000,5톤/주 ,2025-07-02
10,니켈(도금용),"부산,인천",25700000,3톤/주,2025-07-02
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4180000,통합50톤/주,2025-07-01
2,알루미늄(비서구산),"부산,인천,대구,전북",4150000,통합50톤/주,2025-07-01
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15330000,50톤/주 ,2025-07-01
4,납(99.99%이상),"인천,대구,부산",3220000,200톤/주 ,2025-07-01
5,납(99.99%이상),전북,3140000,200톤/주 ,2025-07-01
6,아연,"부산,인천,대구,전북",4350000,15톤/주 ,2025-07-01
7,주석(99.85%이상),"부산,인천,대구,전북",51320000,6톤/주 ,2025-07-01
8,주석(99.90%이상),"부산,인천,대구,전북",51550000,4톤/주 ,2025-07-01
9,니켈(합금용),"부산,인천,대구",25250000,5톤/주 ,2025-07-01
10,니켈(도금용),"부산,인천",25600000,3톤/주,2025-07-01
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4220000,통합50톤/주,2025-06-30
2,알루미늄(비서구산),"부산,인천,대구,전북",4170000,통합50톤/주,2025-06-30
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15520000,50톤/주 ,2025-06-30
4,납(99.99%이상),"인천,대구,부산",3250000,200톤/주 ,2025-06-30
5,납(99.99%이상),전북,3170000,200톤/주 ,2025-06-30
6,아연,"부산,인천,대구,전북",4430000,15톤/주 ,2025-06-30
7,주석(99.85%이상),"부산,인천,대구,전북",51650000,6톤/주 ,2025-06-30
8,주석(99.90%이상),"부산,인천,대구,전북",51910000,4톤/주 ,2025-06-30
9,니켈(합금용),"부산,인천,대구",25450000,5톤/주 ,2025-06-30
10,니켈(도금용),"부산,인천",25800000,3톤/주,2025-06-30
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4200000,통합50톤/주,2025-06-27
2,알루미늄(비서구산),"부산,인천,대구,전북",4150000,통합50톤/주,2025-06-27
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15670000,50톤/주 ,2025-06-27
4,납(99.99%이상),"인천,대구,부산",3240000,200톤/주 ,2025-06-27
5,납(99.99%이상),전북,3160000,200톤/주 ,2025-06-27
6,아연,"부산,인천,대구,전북",4410000,15톤/주 ,2025-06-27
7,주석(99.85%이상),"부산,인천,대구,전북",51580000,6톤/주 ,2025-06-27
8,주석(99.90%이상),"부산,인천,대구,전북",51840000,4톤/주 ,2025-06-27
9,니켈(합금용),"부산,인천,대구",25380000,5톤/주 ,2025-06-27
10,니켈(도금용),"부산,인천",25730000,3톤/주,2025-06-27
1,알루미늄(서구산),"부산,인천,대구,대전, 전북",4170000,통합50톤/주,2025-06-26
2,알루미늄(비서구산),"부산,인천,대구,전북",4130000,통합50톤/주,2025-06-26
3,구리(99.99%이상),"부산,인천,대구,대전, 전북",15120000,50톤/주 ,2025-06-26
4,납(99.99%이상),"인천,대구,부산",3240000,200톤/주 ,2025-06-26
5,납(99.99%이상),전북,3160000,200톤/주 ,2025-06-26
6,아연,"부산,인천,대구,전북",4310000,15톤/주 ,2025-06-26
7,주석(99.85%이상),"부산,인천,대구,전북",50830000,6톤/주 ,2025-06-26
